szKind	nCount	nPoint	szAward		nKinMsg	nWorldMsg	szName	szDesc
Chat_School	1	3	Gold|5				你好同门	在门派频道发送公聊资讯
Chat_Color	1	5	Gold|10				千里传音	发送彩聊资讯
QuickTeamUp_Normal	1	3	Gold|5				快速组队	使用快速组队成功参与一次组队活动
PkExcercise_1	1	3	Gold|5				切磋一下	和其他玩家切磋一次
2-person_Horse	1	5	Gold|5				红尘作伴	与其他玩家完成1次双人同骑交互动作
2-person_Close	1	5	Gold|5				卿卿我我	与其他玩家完成1次亲密交互动作
2-person_Hug	1	5	Gold|5				拥你入怀	与其他玩家完成1次拥抱交互动作
2-person_HandInHand	1	5	Gold|5				执子之手	与其他玩家完成1次牵手交互动作
Give_Clothes	1	10	Gold|20				华服赠佳人	赠送1次外装
Give_Flower	1	3	Gold|5				礼尚往来·一	赠送1次玫瑰花/幸运草
Give_Flower	10	5	Gold|10				礼尚往来·二	累计送出10次玫瑰花/幸运草
Give_Flower	50	10	Gold|30				礼尚往来·三	累计送出50次玫瑰花/幸运草
Give_Flower	100	20	Gold|50				礼尚往来·四	累计送出100次玫瑰花/幸运草
Give_Flower	500	50	Gold|100				礼尚往来·五	累计送出500次玫瑰花/幸运草
Give_Flower	1000	100	Gold|200;item|9577|1;item|9652|1		1		礼尚往来·六	累计送出1000次玫瑰花/幸运草
Give_99Flower	1	5	Gold|20				厚礼相赠·一	赠送1次99朵玫瑰花/99棵幸运草
Give_99Flower	10	10	Gold|50				厚礼相赠·二	累计赠送10次99朵玫瑰花/99棵幸运草
Give_99Flower	50	50	Gold|100;item|9653|1		1		厚礼相赠·三	累计赠送50次99朵玫瑰花/99棵幸运草
Family_1	1	3	Gold|5				温馨港湾	第一次加入帮派
Family_3	1	3	Gold|5				帮派礼物·一	成功获取1个帮派礼盒
Family_3	5	5	Gold|5				帮派礼物·二	成功获取5个帮派礼盒
Family_3	50	10	Gold|30				帮派礼物·三	成功获取50个帮派礼盒
Family_3	250	20	Gold|50				帮派礼物·四	成功获取250个帮派礼盒
Family_3	1000	50	Gold|100;item|9654|1				帮派礼物·五	成功获取1000个帮派礼盒
FamilyContribute_1	1	3	Gold|10				我要捐钱	完成1次帮派捐献
FamilyContribute_1	10	5	Gold|20				继续捐献	完成10次帮派捐献
FamilyContribute_1	50	10	Gold|30				功勳成员	完成50次帮派捐献
FamilyContribute_1	200	20	Gold|50				捐献不能停	完成200次帮派捐献
FamilyContribute_1	1000	50	Gold|100;item|9655|1		1		千金散尽还复来	完成1000次帮派捐献
FamilyContribute_1	10000	100	Gold|500;item|4250|1		1		富可敌国	完成10000次帮派捐献
PayOff_1	1	3	Gold|10				发薪水了	领取1次帮派薪水
PayOff_1	100	5	Gold|20				又有钱领	累计领取的帮派薪水超过100元宝
PayOff_1	1000	10	Gold|30				多劳多得·一	累计领取的帮派薪水超过1000元宝
PayOff_1	3000	20	Gold|50				多劳多得·二	累计领取的帮派薪水超过3000元宝
PayOff_1	10000	50	Gold|100				多劳多得·三	累计领取的帮派薪水超过10000元宝
Family_Share	1	3	Gold|5				大秤分金·一	领取1次分红
Family_Share	1000	5	Gold|10				大秤分金·二	累计领取的分红超过1000元宝
Family_Share	3000	10	Gold|20				大秤分金·三	累计领取的分红超过3000元宝
Family_Share	10000	20	Gold|30				大秤分金·四	累计领取的分红超过10000元宝
Family_Share	50000	50	Gold|50				大秤分金·五	累计领取的分红超过50000元宝
Family_Share	100000	100	Gold|100		1		大秤分金·六	累计领取的分红超过100000元宝
RedBag_1	1	3	Gold|10				红包红包	第一次发红包
DoubleRedBag_1	1	10	Gold|50				大红包	第一次发双倍红包
LuckDog	1	10	Gold|20				运气极好	抢红包时手气最好
UnforunateMan	1	10	Gold|20				运气极差	抢红包时只抢到1元宝
GetMeFight_1	1	3	Gold|10				来传功吧	给其他玩家传功或被传功1次
GetMeFight_1	3	5	Gold|10				继续传功	给其他玩家传功或被传功3次
GetMeFight_1	10	10	Gold|20				乐於助人	给其他玩家传功或被传功10次
GetMeFight_1	30	15	Gold|30;item|9656|1				助人为乐	给其他玩家传功或被传功30次
GetMeFight_1	100	20	Gold|50;item|9657|1		1		助人者人助之	给其他玩家传功或被传功100次
Family_5	1	3	Gold|20				帮派烤火	参与1次帮派烤火活动
Drink	1	5	Gold|10				这轮我请·一	累计在帮派烤火中请大家喝1次酒
Drink	10	10	Gold|30				这轮我请·二	累计在帮派烤火中请大家喝10次酒
Drink	50	20	Gold|50				这轮我请·三	累计在帮派烤火中请大家喝50次酒
Drink	100	50	Gold|100;item|9658|1		1		这轮我请·四	累计在帮派烤火中请大家喝100次酒
Family_4	1	3	Gold|10				装备打造	在帮派作坊打造1次装备
CommerceTask_Help	1	3	Gold|5				互相帮助	协助1次帮派成员完成商会任务
CommerceTask_Help	10	5	Gold|10				协助达人·一	协助10次帮派成员完成商会任务
CommerceTask_Help	50	10	Gold|30				协助达人·二	协助50次帮派成员完成商会任务
CommerceTask_Help	100	20	Gold|50				协助达人·三	协助100次帮派成员完成商会任务
CommerceTask_Help	500	50	Gold|100;item|9659|1		1		协助达人·四	协助500次帮派成员完成商会任务
Sworn_1	1	10	Gold|20				义结金兰	成功完成一次结拜
Sworn_2	1	20	Gold|100				交情过命	与结拜成员的亲密度均达到30级
Friends_1	1	3	Gold|10				呼朋唤友	拥有20个好友
Friends_2	1	10	Gold|20				高朋满座	拥有50个好友
Friends_3	1	20	Gold|50				四海之内皆兄弟	拥有100个好友
Friend_1	1	3	Gold|10				泛泛之交	与1个好友的亲密度达到5级
Friend_2	1	5	Gold|30				情义之交	与1个好友的亲密度达到10级
Friend_3	1	10	Gold|50				肝胆之交	与1个好友的亲密度达到20级
Friend_4	1	20	Gold|100				莫逆之交	与1个好友的亲密度达到30级
Friend_5	1	30	Gold|300				生死之交	与1个好友的亲密度达到40级
FriendFamiliar_1	3	5	Gold|30				清交素友	与3个好友的亲密度达到5级
FriendFamiliar_2	3	10	Gold|50				情深意重	与3个好友的亲密度达到10级
FriendFamiliar_3	3	20	Gold|100				肝胆相照	与3个好友的亲密度达到20级
FriendFamiliar_4	3	30	Gold|300				相交莫逆	与3个好友的亲密度达到30级
FriendFamiliar_5	3	50	Gold|500;item|9660|1		1		情同生死	与3个好友的亲密度达到40级
TeacherStudentElite_1	1	10	Gold|30				教导有方	有1个杰出弟子出师
TeacherStudentMaster_1	2	10	Gold|20				良师益友	有2个弟子出师
TeacherStudentMaster_1	5	20	Gold|50				诲人不倦	有5个弟子出师
TeacherStudentMaster_1	10	30	Gold|100;item|9661|1		1		为人师表	有10个弟子出师
TeacherStudentMaster_1	20	40	Gold|300;item|9662|1		1		桃李满天下	有20个弟子出师
TeacherStudentMaster_1	30	50	Gold|500;item|9663|1		1		一代宗师	有30个弟子出师
TeacherStudentMaster_1	50	60	Gold|500				开宗立派	有50个弟子出师
TeacherStudent_Horse	1	20	Gold|100				赠君宝马	徒弟出师时赠送徒弟乌云踏雪
TeacherStudent_Equip	1	10	Gold|20				望君变强	徒弟出师时赠送装备
TeacherStudent_Clothes	1	10	Gold|20				助君变靓	徒弟出师时赠送外装
TeacherStudent_Token	1	10	Gold|20				祝君高升	徒弟出师时赠送权杖
TeacherStudent_Excellent	1	10	Gold|30				出类拔萃	作为徒弟完美出师
TeacherStudent_Task	1	5	Gold|5				完美达成·一	完美完成师父布置的任务1次
TeacherStudent_Task	10	10	Gold|20				完美达成·二	完美完成师父布置的任务10次
TeacherStudent_Task	30	20	Gold|30				完美达成·三	完美完成师父布置的任务30次
TeacherStudent_Task	50	50	Gold|50;item|9664|1		1		完美达成·四	完美完成师父布置的任务50次
Engage_1	1	20	Gold|30				牵手成功	成功与一名异性订婚
Marry_1	1	50	Gold|100				缘定三生	与订婚对象举行一次婚礼
Marry_Qinggong	1	10	Gold|50				比翼双飞	在临安城完成一次双人大轻功
WeddingAnniversary_1	1	10	Gold|50				纸婚	与伴侣度过成婚1个月纪念日并领取纪念日奖励
WeddingAnniversary_2	1	50	Gold|100		1		银婚	与伴侣度过成婚6个月纪念日并领取纪念日奖励
WeddingAnniversary_3	1	100	Gold|500;item|9665|1		1	1	金婚	与伴侣度过成婚1周年纪念日并领取纪念日奖励
Revenge_1	1	3	Gold|5				我要报仇	成功进行1次复仇
Revenge_2	10000	10	Gold|30				有仇必报·一	通过复仇抢到10000银两
Revenge_2	100000	20	Gold|50				有仇必报·二	通过复仇抢到100000银两
Prison_1	1	3	Gold|50				睚眦必报	第1次通缉其他玩家
Wanted_Complete	1	5	Gold|10				虽远必诛·一	完成追影令1次
Wanted_Complete	10	10	Gold|30				虽远必诛·二	完成追影令10次
Wanted_Complete	50	30	Gold|50		1		虽远必诛·三	完成追影令50次
Wanted_Complete	100	50	Gold|100;item|9542|1;item|9666|1		1	1	虽远必诛·四	完成追影令100次
HouseLevel_1	1	3	Gold|60				我有家了	拥有1个自己的家园
HouseLevel_2	3	5	Gold|70				大兴土木	家园等级达到3级
HouseLevel_2	4	10	Gold|70		1		雕梁绣户	家园等级达到4级
HouseLevel_2	5	20	Gold|90		1		金碧辉煌	家园等级达到5级
HouseLevel_2	6	30	Gold|100;item|9667|1		1		神工天巧	家园等级达到6级
HouseComfort_1	5	5	Gold|60				宜家宜室	家园舒适度达到5级
HouseComfort_1	10	10	Gold|70				闲庭雅居	家园舒适度达到10级
HouseComfort_1	15	20	Gold|70		1		福祉盈门	家园舒适度达到15级
HouseComfort_1	20	30	Gold|90		1		紫气东来	家园舒适度达到20级
HouseComfort_1	25	50	Gold|100;item|9668|1		1		名门望庭	家园舒适度达到25级
House_Hide	1	10	Gold|10				你看不见我	躲到其他玩家家园柜子里面
House_Sleep	1	10	Gold|10				睡你…的床	在其他玩家家园的床上睡觉
House_Wash	1	10	Gold|10				洗白白	在其他玩家家园的浴盆里洗澡
House_SleepTogether	1	10	Gold|10				大被同眠	与其他玩家同在一张床上睡觉
House_Swing	1	10	Gold|10				梦回童年	与其他玩家一起荡秋千
House_Plant	1	3	Gold|20				十年树木	在家园种植一棵树
House_TreeMature	1	5	Gold|10				收获日	家园树木成熟收成1次
House_TreeMature	5	10	Gold|20				勤勤恳恳·一	家园树木成熟收成5次
House_TreeMature	20	20	Gold|30				勤勤恳恳·二	家园树木成熟收成20次
House_TreeMature	50	50	Gold|50				勤勤恳恳·三	家园树木成熟收成50次
House_TreeMature	100	80	Gold|100;item|9669|1		1		勤勤恳恳·四	家园树木成熟收成100次
House_TreeHelp	1	3	Gold|20				救救树吧	成功为好友协助养护1次
House_TreeHelp_Day	1	10	Gold|20				完美园丁	一天内成功为好友协助养护10次
House_TreeHelp	50	10	Gold|20				辛勤园丁·一	累计为好友协助养护50次
House_TreeHelp	200	20	Gold|30				辛勤园丁·二	累计为好友协助养护200次
House_TreeHelp	500	30	Gold|50				辛勤园丁·三	累计为好友协助养护500次
House_TreeHelp	1000	50	Gold|100;item|9670|1		1		辛勤园丁·四	累计为好友协助养护1000次
Meditate_Empty	1	20	Gold|100				四大皆空	打坐冥想结果为皆空
Bless_1	4	10	Gold|30				天赐洪福	祈福出现4条以上吉属性
Bless_2	5	20	Gold|50				聚宝神器	聚宝盆上洗满5条属性
IDIPZan_1	10	5	Gold|10				比心心	给其他玩家的个人空间点赞达到10次
IDIPPopularity_1	50	10	Gold|20				小有名气	个人空间人气值达到50
IDIPPopularity_1	500	20	Gold|30				崭露头角	个人空间人气值达到500
IDIPPopularity_1	1000	50	Gold|50				人气选手	个人空间人气值达到1000
WhiteTiger_1	1	3	Gold|10				初探白虎堂	进入白虎堂第一层
WhiteTiger_2	1	5	Gold|10				首开杀戒	在白虎堂中击杀1个其他玩家
WhiteTiger_3	1	5	Gold|20				通关白虎堂·一	通过白虎堂第四层
WhiteTiger_4	1	10	Gold|30				通关白虎堂·二	通过白虎堂第五层
WhiteTiger_2	100	20	Gold|50				杀人如麻	在白虎堂中击杀100个其他玩家
WhiteTiger_2	500	50	Gold|100;item|9671|1		1		白虎堂狩猎者	在白虎堂中击杀500个其他玩家
DomainBattle_1	10	5	Gold|10				豪杰	在攻城战中击败10名敌对玩家
DomainBattle_1	50	10	Gold|30				追命	在攻城战中击败50名敌对玩家
DomainBattle_1	200	20	Gold|50;item|9672|1				无情	在攻城战中击败200名敌对玩家
DomainBattle_1	500	50	Gold|100;item|9673|1				罗刹	在攻城战中击败500名敌对玩家
DomainBattle_1	1000	100	Gold|300;item|9674|1		1		战神	在攻城战中击败1000名敌对玩家
DomainBattleCombo_1	1	10	Gold|20				骁勇善战	在攻城战中获得10连斩
DomainBattleCombo_2	1	20	Gold|30				能征惯战	在攻城战中获得20连斩
DomainBattleCombo_3	1	50	Gold|50				所向披靡	在攻城战中获得50连斩
DomainBattleCombo_4	1	100	Gold|100;item|9675|1		1		定国柱石	在攻城战中获得100连斩
DomainBattle_Car	1	10	Gold|20				推塔游戏	在攻城战中驾驶1次攻城车
DomainBattle_CrossbowCar	1	10	Gold|20				诸葛连弩	在攻城战中驾驶1次劲弩车
DomainBattle_GunCar	1	10	Gold|20				义大利炮	在攻城战中驾驶1次铁炮车
DomainBattle_Xiangyang	1	15	Gold|100				我们的襄阳	参与攻城战并且所在帮派占领襄阳
DomainBattle_Linan	1	20	Gold|300				我们的临安	参与跨服攻城战且所在帮派占领临安
DomainBattle_XiangyangP	1	50	Gold|300				襄阳霸主	帮助所在帮派连续一个月占领襄阳城
KinEscort_1	1	3	Gold|10				行走江湖	成功参与1次帮派运镖
KinEscort_2	1	5	Gold|10				剪径强人	在帮派运镖中成功抢到1个“掉落的货物”
KinEscort_2	5	10	Gold|30				绿林强盗	在帮派运镖中成功抢到5个“掉落的货物”
KinEscort_2	50	20	Gold|50				占山为王	在帮派运镖中成功抢到50个“掉落的货物”
KinEscort_3	1	10	Gold|20				价值连城	将一辆紫色以上的镖车完整的护送到目的地
KinEscort_4	30	20	Gold|30				镖镖必达	成功将30辆镖车护送到目的地
KinEscort_4	100	50	Gold|100;item|9676|1		1		镖行天下	成功将100辆镖车护送到目的地
ImperialTombEmperor_1	1	3	Gold|10				鬼帝降世	成功参与一次始皇降临/女帝复苏
ImperialTombEmperor_2	1	10	Gold|10				弑君者·一	帮派成功击杀1次秦始皇/武则天
ImperialTombEmperor_2	5	20	Gold|20				弑君者·二	帮派成功击杀5次秦始皇/武则天
ImperialTombEmperor_2	20	30	Gold|30;item|9677|1				弑君者·三	帮派成功击杀20次秦始皇/武则天
ImperialTombEmperor_2	100	50	Gold|100;item|9678|1				弑君者·四	帮派成功击杀100次秦始皇/武则天
ImperialTombEmperor_3	1	10	Gold|30				率先发难·一	成功拿到秦始皇/武则天的第一击
ImperialTombEmperor_3	10	20	Gold|100				率先发难·二	成功拿到秦始皇/武则天的第一击10次
BossChallenge_1	1	3	Gold|5				初生牛犊不怕虎	挑战一次武林盟主
Boss_1	1	5	Gold|10				盟主的考验	挑战武林盟主个人最终排名进入前100
Boss_2	1	10	Gold|20				盟主的首肯	挑战武林盟主个人最终排名进入前30
Boss_3	1	20	Gold|30;item|9679|1				盟主的青睐	挑战武林盟主个人最终排名进入前10
Boss_4	1	30	Gold|50;item|9680|1				盟主的赞赏	挑战武林盟主个人最终排名第1
Boss_4	100	50	Gold|100;item|9681|1				盟主的惊叹	获得100次挑战武林盟主个人最终排名第1
Boss_4	200	100	Gold|500;item|4248|1		1		武林盟主	获得200次挑战武林盟主个人最终排名第1
BossRob_1	1	5	Gold|10				弱肉强食	在挑战武林盟主中抢夺1次其他玩家的积分
BossRob_Cai	1	10	Gold|20				哼！弱鸡	在挑战武林盟主中有人抢夺自己的积分但技不如人
BossRob_Lucky	1	10	Gold|20				好险好险	在挑战武林盟主中被人抢夺到自己5%的积分
BossRob_UnLucky	1	10	Gold|20				我的积分！	在挑战武林盟主中被人抢夺到自己20%的积分
BossNumberOne_1	1	20	Gold|30				我们最强	挑战武林盟主帮派最终排名第1
FieldBoss_1	1	3	Gold|10				名将的挑战	成功参与1次历代名将
FieldBoss_2	1	5	Gold|10				名将的首肯	帮派成功击杀1次历代名将
FieldBoss_2	10	10	Gold|20;item|9682|1				名将的青睐	帮派成功击杀10次历代名将
FieldBoss_2	100	20	Gold|30;item|9683|1		1		名将的赞赏	帮派成功击杀100次历代名将
FieldBoss_2	500	50	Gold|100;item|9684|1		1		名将的惊叹	帮派成功击杀500次历代名将
FieldBoss_First	1	10	Gold|20				率先出击·一	成功拿到历代名将的第一击
FieldBoss_First	50	20	Gold|100				率先出击·二	成功拿到历代名将的第一击50次
FieldLeader_1	1	3	Gold|10				老虎屁股就要摸	参与1次野外首领
FieldLeader_2	1	5	Gold|10				击杀者	击杀1名野外首领
FieldLeader_2	10	10	Gold|20				猎杀者	击杀10名野外首领
FieldLeader_2	100	20	Gold|30;item|9685|1				怪物猎人	击杀100名野外首领
FieldLeader_2	500	50	Gold|100;item|9686|1		1		野地之王	击杀500名野外首领
Clothes_1	1	3	Gold|30				衣冠楚楚·一	获得1件衣服外装
Clothes_1	5	5	Gold|20				衣冠楚楚·二	获得5件衣服外装
Clothes_1	10	10	Gold|30				衣冠楚楚·三	获得10件衣服外装
Clothes_1	20	20	Gold|50				衣冠楚楚·四	获得20件衣服外装
Clothes_1	30	30	Gold|100				衣冠楚楚·五	获得30件衣服外装
Arms_1	1	3	Gold|30				神兵流光·一	获得1件武器外装
Arms_1	5	5	Gold|20				神兵流光·二	获得5件武器外装
Arms_1	10	10	Gold|30				神兵流光·三	获得10件武器外装
Arms_1	20	20	Gold|50				神兵流光·四	获得20件武器外装
Arms_1	30	30	Gold|100				神兵流光·五	获得30件武器外装
Hat_1	1	3	Gold|30				高冠博带·一	获得1件头饰外装
Hat_1	5	5	Gold|20				高冠博带·二	获得5件头饰外装
Hat_1	10	10	Gold|30				高冠博带·三	获得10件头饰外装
Hat_1	20	20	Gold|50				高冠博带·四	获得20件头饰外装
Hat_1	30	30	Gold|100				高冠博带·五	获得30件头饰外装
Charm_1	500	10	Gold|10		1		有点姿色	魅力值达到500
Charm_1	2000	20	Gold|30;Item|6990|1		1		如花似玉	魅力值达到2000
Charm_1	5000	30	Gold|50;Item|6991|1		1		绝色美人	魅力值达到5000
Charm_1	20000	50	Gold|100;Item|6992|1		1		倾国倾城	魅力值达到20000
Charm_1	100000	100	Gold|300;item|9687|1		1		人见人爱	魅力值达到100000
CommerceTask_1	1	3	Gold|5				牛刀小试	完成一个商会任务
CommerceTask_2	1	3	Gold|10				帮帮我吧	成功寻求一次帮派成员的帮助
CommerceTask_3	1	5	Gold|10				顺利完成	完成1轮商会任务
CommerceTask_3	10	10	Gold|20				行商熟手	完成10轮商会任务
CommerceTask_3	100	20	Gold|50;item|9688|1		1		商行天下	完成100轮商会任务
JuanZhou_1	1	5	Gold|10				商会委托	完成一个卷轴任务
JuanZhou_3	20	10	Gold|30				商会常客	累计完成20个卷轴任务
JuanZhou_3	100	20	Gold|50				商会好手	累计完成100个卷轴任务
JuanZhou_3	400	50	Gold|100;item|9689|1				商会密友	累计完成400个卷轴任务
JuanZhou_2	1	10	Gold|20				商会重托·一	完成一个蓝色或以上卷轴任务
JuanZhou_4	1	20	Gold|30				商会重托·二	完成一个紫色卷轴任务
JuanZhou_5	1	30	Gold|50				商会重托·三	完成一个粉色卷轴任务
MoneyTree_1	1	3	Gold|5				摇钱树	使用摇钱树1次
MoneyTree_1	10	5	Gold|10				钱如雨下	使用摇钱树10次
MoneyTree_1	50	10	Gold|20				招财进宝	使用摇钱树50次
MoneyTree_1	200	20	Gold|30;item|9690|1				财源广进	使用摇钱树200次
MoneyTree_1	1000	50	Gold|50;item|9691|1		1		财神降临	使用摇钱树1000次
MoneyTree_2	1	10	Gold|20				两倍暴击	使用摇钱树时获得两倍暴击
MoneyTree_10	1	10	Gold|20				十倍暴击	使用摇钱树时获得十倍暴击
TheBox_1	1	3	Gold|5				黄金宝箱	打开1个黄金宝箱
TheBox_1	10	5	Gold|10				宝箱宝箱	打开10个黄金宝箱
TheBox_1	50	10	Gold|30				再开一个	打开50个黄金宝箱
TheBox_1	300	20	Gold|50;item|9692|1				宝箱爱好者	打开300个黄金宝箱
TheBox_1	1000	50	Gold|100;item|9693|1		1		宝箱的信仰	打开1000个黄金宝箱
Angry_Normal	1	3	Gold|5				我怒了	释放1次怒气技能
BlackList	1	3	Gold|5				我讨厌你	拉黑1个玩家
FirstAuctionDeal_2	1	5	Gold|20				商品竞拍	成功从拍卖行中拍到一件物品
FirstAuctionDeal_4	1	10	Gold|20				我要定了	一口价拍到一件物品
Market_Buy	1	10	Gold|20				小摊淘宝	成功从摆摊中买到一件物品
Market_Sell	1	10	Gold|20				物尽其用	成功在摆摊中卖出一件物品
SearchFuben_1	1	3	Gold|5				宝藏探索	开始第1次宝藏探索
Mystic_SixSixSIx	1	100	Gold|100		1		六六大顺	帮派烤火后掷骰子掷到三个六
Mystic_Make14	1	100	Gold|100		1		来之不易	单个装备连续打造14次才打出稀有装备
Mystic_8Fire	1	100	Gold|100		1		火神祝融	在修炼状态下受到八堆篝火经验加成
Mystic_MostIntimate	1	100	Gold|100		1		绝对亲密	同另一个玩家同时是夫妻、好友、师徒、结拜关系，并且同帮派
Mystic_100Friend	1	100	Gold|200		1		天下谁人不识君	与100个好友亲密度达到10级以上
Mystic_10Teachers	10	100	Gold|100		1		所学驳杂	累计拜师不同玩家10次
Mystic_10CareerWin	10	100	Gold|500;item|9576|1		1		样样精通	心魔幻境中累计用10个不同的职业均拿到优胜
Mystic_50InHouse	1	100	Gold|100		1		高朋满座	同时超过50个其他玩家出现在自己的家园
Mystic_AllBoss	1	100	Gold|100		1		白虎堂之主	一次白虎堂活动中每层都击杀boss
Mystic_10InHouse	1	100	Gold|100		1		连挑数将	一次历代名将中攻击超过10个不同的名将
Mystic_General	1	100	Gold|100		1		原始暴怒	山贼秘窟中开启全部机关
Mystic_SeriesKiller1	100	100	Gold|100		1		金之克制者	在心魔幻境/绝地中击杀金系角色100个
Mystic_SeriesKiller2	100	100	Gold|100		1		木之克制者	在心魔幻境/绝地中击杀木系角色100个
Mystic_SeriesKiller3	100	100	Gold|100		1		水之克制者	在心魔幻境/绝地中击杀水系角色100个
Mystic_SeriesKiller4	100	100	Gold|100		1		火之克制者	在心魔幻境/绝地中击杀火系角色100个
Mystic_SeriesKiller5	100	100	Gold|100		1		土之克制者	在心魔幻境/绝地中击杀土系角色100个
Mystic_ZhenYuan5Skill	1	100	Gold|500		1		五雷正法	同时拥有5个带有不同真元技能的真元
Mystic_10CareerNew	10	100	Gold|500;item|9575|1;item|9694|1		1	1	十项全能	夺得过10个不同门派的新人王
Mystic_BigShare	1	50	Gold|100		1		大秤分狗头金	单次分红超过1000元宝
Mystic_SexChange	1	50	Gold|50		1		泰国之旅	更换1次自己的性别
Mystic_FourTimesRedBag	1	50	Gold|100		1	1	大大红包	第一次发三倍红包
Mystic_EightTimesRedBag	1	50	Gold|300		1	1	大大大红包	第一次发六倍红包
Mystic_BeatTeacher	1	50	Gold|50		1		青出於蓝	在英雄挑战中击败一次自己的师父
Mystic_FiveOK	31	50	Gold|200		1		五行轮转	体验过五行不同属性职业
Mystic_PeopleNetwork	1	50	Gold|100		1		枝繁叶茂	关系谱中没有空位
