ParamId	DefaultRandomId	Desc0	TimeFrame1	RandomId1	Desc1	TimeFrame2	RandomId2	Desc2	TimeFrame3	RandomId3	Desc3	TimeFrame4	RandomId4	Desc4	TimeFrame5	RandomId5	Desc5	TimeFrame6	RandomId6	Desc6	TimeFrame7	RandomId7	Desc7	TimeFrame8	RandomId8	Desc8	TimeFrame9	RandomId9	Desc9	TimeFrame10	RandomId10	Desc10	Desc
53	7438	[FFFE0D]1、160元宝\n2、白水晶*18[-]	OpenLevel59	7438	[FFFE0D]1、160元宝\n2、白水晶*20[-]	OpenLevel69	7438	[FFFE0D]1、160元宝\n2、绿水晶*12[-]	OpenLevel79	7438	[FFFE0D]1、160元宝\n2、绿水晶*16[-]	OpenLevel89	7438	[FFFE0D]1、160元宝\n2、绿水晶*18[-]	OpenLevel99	7438	[FFFE0D]1、160元宝\n2、绿水晶*18[-]	OpenLevel109	7438	[FFFE0D]1、160元宝\n2、绿水晶*18[-]	OpenLevel119	7438	[FFFE0D]1、160元宝\n2、绿水晶*18[-]	OpenLevel129	7438	[FFFE0D]1、160元宝\n2、绿水晶*18[-]	OpenLevel139	7438	[FFFE0D]1、160元宝\n2、绿水晶*18[-]	OpenLevel149	7438	[FFFE0D]1、160元宝\n2、蓝水晶*5[-]	3元超值礼包展示（新马）
54	7438	[FFFE0D]1、220元宝\n2、800贡献[-]	OpenLevel59	7438	[FFFE0D]1、220元宝\n2、1000贡献[-]	OpenLevel69	7438	[FFFE0D]1、220元宝\n2、1500贡献[-]	OpenLevel79	7438	[FFFE0D]1、320元宝\n2、2000贡献[-]	OpenLevel89	7438	[FFFE0D]1、320元宝\n2、2000贡献\n2、蓝水晶*8[-]	OpenLevel99	7438	[FFFE0D]1、320元宝\n2、2000贡献\n2、紫水晶*2[-]	OpenLevel109	7438	[FFFE0D]1、320元宝\n2、2000贡献\n2、紫水晶*2[-]	OpenLevel119	7438	[FFFE0D]1、320元宝\n2、2500贡献\n3、紫水晶*2[-]	OpenLevel129	7438	[FFFE0D]1、320元宝\n2、2500贡献\n3、紫水晶*2[-]	OpenLevel139	7438	[FFFE0D]1、320元宝\n2、2500贡献\n3、紫水晶*2[-]	OpenLevel149	7438	[FFFE0D]1、320元宝\n2、2500贡献\n3、紫水晶*2[-]	6元超值礼包展示（新马）
55	70671		OpenDay89	70671		OpenLevel109	70672		OpenDay279	70673		OpenDay353	70674		OpenLevel129	70675		OpenLevel139	70676														5级魂石箱
56	77001	劳动节活动最终奖励，看起来十分珍贵	OpenLevel79	77002	劳动节活动最终奖励，看起来十分珍贵																												劳动者宝箱·一阶
57	77011	劳动节活动最终奖励，看起来有些珍贵	OpenLevel79	77012	劳动节活动最终奖励，看起来有些珍贵																												劳动者宝箱·二阶
58	77021	劳动节活动最终奖励，看起来十分精美	OpenLevel79	77022	劳动节活动最终奖励，看起来十分精美																												劳动者宝箱·三阶
59	77031	劳动节活动最终奖励，看起来有些精美	OpenLevel79	77032	劳动节活动最终奖励，看起来有些精美																												劳动者宝箱·四阶
60	77041	劳动节活动最终奖励，看起来里面有点东西	OpenLevel79	77042	劳动节活动最终奖励，看起来里面有点东西																												劳动者宝箱·五阶
61	83611	完美完成商会任务后万金财的特殊赠与。\n残损的表面隐约能辨认出“礼”字样，此时资料片将近，看来收集多个到时必有厚礼可以兑换	OpenLevel109	83612	完美完成商会任务后万金财的特殊赠与。\n残损的表面隐约能辨认出“礼”字样，此时资料片将近，看来收集多个到时必有厚礼可以兑换																												残损的票券
62	85011	从[FFFE0D]万金财[-]处消耗[FFFE0D]5个[-]残损的票券换得，看起来平平无奇，没什麽了不起	OpenLevel69	85012	从[FFFE0D]万金财[-]处消耗[FFFE0D]5个[-]残损的票券换得，看起来平平无奇，没什麽了不起	OpenLevel89	85013	从[FFFE0D]万金财[-]处消耗[FFFE0D]5个[-]残损的票券换得，看起来平平无奇，没什麽了不起	OpenLevel109	85014	从[FFFE0D]万金财[-]处消耗[FFFE0D]5个[-]残损的票券换得，看起来平平无奇，没什麽了不起																						平平无奇宝盒
63	85031	从[FFFE0D]万金财[-]处消耗[FFFE0D]10个[-]残损的票券换得，做工细致轻巧，看起来有点东西	OpenLevel69	85032	从[FFFE0D]万金财[-]处消耗[FFFE0D]10个[-]残损的票券换得，做工细致轻巧，看起来有点东西	OpenLevel89	85033	从[FFFE0D]万金财[-]处消耗[FFFE0D]10个[-]残损的票券换得，做工细致轻巧，看起来有点东西	OpenLevel109	85034	从[FFFE0D]万金财[-]处消耗[FFFE0D]10个[-]残损的票券换得，做工细致轻巧，看起来有点东西																						细致精巧宝盒
64	85021	从[FFFE0D]万金财[-]处消耗[FFFE0D]15个[-]残损的票券换得，外饰装点华丽，里面的东西怕是非同小可	OpenLevel69	85022	从[FFFE0D]万金财[-]处消耗[FFFE0D]15个[-]残损的票券换得，外饰装点华丽，里面的东西怕是非同小可	OpenLevel89	85023	从[FFFE0D]万金财[-]处消耗[FFFE0D]15个[-]残损的票券换得，外饰装点华丽，里面的东西怕是非同小可	OpenLevel109	85024	从[FFFE0D]万金财[-]处消耗[FFFE0D]15个[-]残损的票券换得，外饰装点华丽，里面的东西怕是非同小可																						外饰华丽宝盒
65	85041	从[FFFE0D]万金财[-]处消耗[FFFE0D]20个[-]残损的票券换得，搭眼望去光彩璀璨，或许里面有什麽神秘宝物	OpenLevel69	85042	从[FFFE0D]万金财[-]处消耗[FFFE0D]20个[-]残损的票券换得，搭眼望去光彩璀璨，或许里面有什麽神秘宝物	OpenLevel89	85043	从[FFFE0D]万金财[-]处消耗[FFFE0D]20个[-]残损的票券换得，搭眼望去光彩璀璨，或许里面有什麽神秘宝物	OpenLevel109	85044	从[FFFE0D]万金财[-]处消耗[FFFE0D]20个[-]残损的票券换得，搭眼望去光彩璀璨，或许里面有什麽神秘宝物																						光彩璀璨宝盒
66	8379	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel109	9325	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel119	9326	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel129	9327	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel139	9328	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel149	9329	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel159	9330	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。													未鉴定的卷轴（大号）
67	8380	遗迹寻宝活动中自动扣除[FFFE0D]1000[-]黄金积分兑换所得。	OpenLevel109	9331	遗迹寻宝活动中自动扣除[FFFE0D]1000[-]黄金积分兑换所得。	OpenLevel119	9332	遗迹寻宝活动中自动扣除[FFFE0D]1000[-]黄金积分兑换所得。	OpenLevel129	9333	遗迹寻宝活动中自动扣除[FFFE0D]1000[-]黄金积分兑换所得。	OpenLevel139	9335	遗迹寻宝活动中自动扣除[FFFE0D]1000[-]黄金积分兑换所得。	OpenLevel149	9336	遗迹寻宝活动中自动扣除[FFFE0D]1000[-]黄金积分兑换所得。	OpenLevel159	9337	遗迹寻宝活动中自动扣除[FFFE0D]1000[-]黄金积分兑换所得。													未鉴定的卷轴（大号）
68	94511	相会鹊桥中获得的精美礼盒，开启可获得大量奖励	OpenLevel69	94512	相会鹊桥中获得的精美礼盒，开启可获得大量奖励																												鹊桥会礼盒
69	94521	相会鹊桥中获得的精美礼盒，开启可获得大量奖励	OpenLevel69	94522	相会鹊桥中获得的精美礼盒，开启可获得大量奖励																												鹊桥会礼盒
70	94531	相会鹊桥中获得的精美礼盒，开启可获得大量奖励	OpenLevel69	94532	相会鹊桥中获得的精美礼盒，开启可获得大量奖励																												鹊桥会礼盒
71	94541	相会鹊桥中获得的精美礼盒，开启可获得大量奖励	OpenLevel69	94542	相会鹊桥中获得的精美礼盒，开启可获得大量奖励																												鹊桥会礼盒
72	94551	相会鹊桥中获得的精美礼盒，开启可获得大量奖励	OpenLevel69	94552	相会鹊桥中获得的精美礼盒，开启可获得大量奖励																												鹊桥会礼盒
73	94561	相会鹊桥中获得的精美礼盒，开启可获得大量奖励	OpenLevel69	94562	相会鹊桥中获得的精美礼盒，开启可获得大量奖励																												鹊桥会礼盒
74	9494	帮派聚餐吃菜的奖励	OpenLevel69	9495	帮派聚餐吃菜的奖励	OpenLevel79	9496	帮派聚餐吃菜的奖励																									
75	9503	帮派宴席吃菜奖励	OpenLevel79	9504	帮派宴席吃菜奖励	OpenLevel109	9505	帮派宴席吃菜奖励																									
76	97061	打开后随机获得一个防具的黄金图谱	OpenLevel129Add30	97062	打开后随机获得一个防具的黄金图谱	OpenLevel139Add30	97063	打开后随机获得一个防具的黄金图谱																									黄金图谱·防具
