Name	Type	SaveId	TakeLimit	BeginDay	EndDay	MinLevel	MaxLevel	MailTxt	Award1	Award2	Award3	Award4	Award5	Award6	Award7	Award8	Award9	Award10	Desc
VNGFanpageLv2	VNGFanpageLv2		15000	2016/11/10	2016/11/12			    尊敬的侠士，恭喜你成功领取了礼包！	item|785|3	item|786|3	item|212|3	Gold|50							同一批礼包序号，同角色不可重复兑换,每组序号限领三次
VNGFanpageLv3	VNGFanpageLv3		10000	2016/11/10	2016/11/12			    尊敬的侠士，恭喜你成功领取了礼包！	item|1927|10	item|1929|2	item|212|10	Gold|100	Coin|12888						同一批礼包序号，同角色不可重复兑换,每组序号限领三次
efun周年庆大R奖励每日登入送祝福	HKRichLogin		510	2016/10/1	2017/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|223|2	item|2168|1	Contrib|1000								同一批礼包序号，同角色不可重复兑换,每组序号限领一次
efun平台大R完善资料奖励礼包	HKRichData		510	2016/10/1	2017/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|1968|10	item|1969|5	item|2168|1	Contrib|2000							同一批礼包序号，同角色不可重复兑换,每组序号限领一次
新马新手礼包	XMNewPackage		20000	2016/10/8	2020/10/8			    尊敬的侠士，恭喜你成功领取了礼包！	item|2301|1	item|786|5	Coin|5000	item|1234|2	item|1235|2	item|1412|1					同一批礼包序号，同角色不可重复兑换,每组序号限领一次
新马族长奖励	XMPatriarch		1000	2016/10/8	2020/10/8			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|50	item|2167|1	item|787|5								同一批礼包序号，同角色不可重复兑换,每组序号限领一次
新马副族长奖励	XMAssistant		2000	2016/10/8	2020/10/8			    尊敬的侠士，恭喜你成功领取了礼包！	item|2167|1	item|787|5									同一批礼包序号，同角色不可重复兑换,每组序号限领一次
新马帮派10人奖励	XMFamilyNum10		10000	2016/10/8	2020/10/8			    尊敬的侠士，恭喜你成功领取了礼包！	item|1016|2	item|1234|2									同一批礼包序号，同角色不可重复兑换,每组序号限领一次
新马帮派20人奖励	XMFamilyNum20		10000	2016/10/8	2020/10/8			    尊敬的侠士，恭喜你成功领取了礼包！	item|1927|5	item|212|5									同一批礼包序号，同角色不可重复兑换,每组序号限领一次
新马帮派30人奖励	XMFamilyNum30		10000	2016/10/8	2020/10/8			    尊敬的侠士，恭喜你成功领取了礼包！	item|786|5	item|785|5									同一批礼包序号，同角色不可重复兑换,每组序号限领一次
新马帮派网红礼包	XMWebCelebrity		30	2016/10/8	2016/10/26			    尊敬的侠士，恭喜你成功领取了礼包！	item|1413|1	item|786|2	item|787|2	item|1234|2	item|1235|2						同一批礼包序号，同角色不可重复兑换,每组序号限领一次
港澳管道礼包B	HKChannleB							    尊敬的侠士，恭喜你成功领取了礼包！	Gold|200	item|222|5	item|786|5								同一批礼包序号，同角色可重复兑换。每组序号限领一次。
优惠礼包	HKCutOff							    尊敬的侠士，恭喜你成功领取了礼包！	item|786|5	item|222|3									每个角色只能兑换一次
限时礼包a	HKLimitA							    尊敬的侠士，恭喜你成功领取了礼包！	item|2167|2	item|786|5	Contrib|500								每个角色只能兑换一次
限时礼包b	HKLimitB							    尊敬的侠士，恭喜你成功领取了礼包！	item|2761|2	item|222|10	Contrib|500								每个角色只能兑换一次
帮派line群活动奖励A	HKKinActA							    尊敬的侠士，恭喜你成功领取了礼包！	Contrib|500	item|212|10	item|1235|10	item|1234|10							通码、每个角色仅能使用一次、礼包内通码互斥
帮派line群活动奖励B	HKKinActB							    尊敬的侠士，恭喜你成功领取了礼包！	Contrib|400	item|2301|1	item|1235|10	item|1234|10							通码、每个角色仅能使用一次、礼包内通码互斥
帮派line群活动奖励C	HKKinActC							    尊敬的侠士，恭喜你成功领取了礼包！	Contrib|300	item|2761|1	item|1235|10	item|1234|10							通码、每个角色仅能使用一次、礼包内通码互斥
帮派line群活动奖励D	HKKinActD							    尊敬的侠士，恭喜你成功领取了礼包！	Contrib|250	item|786|2	item|1235|5	item|1234|5							通码、每个角色仅能使用一次、礼包内通码互斥
帮派line群活动奖励E	HKKinActE							    尊敬的侠士，恭喜你成功领取了礼包！	Contrib|200	item|786|1	item|1235|5	item|1234|5							通码、每个角色仅能使用一次、礼包内通码互斥
新马FB点赞礼包	XMFBLike							    尊敬的侠士，恭喜你成功领取了礼包！	item|222|5	item|786|5	Coin|10000								每个角色只能兑换一次
莱尔富储值礼包A	HKRechargeA		8000	2016/11/8	2017/7/1			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|200	item|786|5	item|785|5								一个角色可重复兑换
剑侠情缘大礼包1	HKJXQY1		5000	2016/11/8	2017/7/1			    尊敬的侠士，恭喜你成功领取了礼包！	item|785|5	item|212|10	item|2760|1								一个角色只能兑换一次
剑侠情缘大礼包2	HKJXQY2		5000	2016/11/8	2017/7/1			    尊敬的侠士，恭喜你成功领取了礼包！	item|787|10	item|786|5	Contrib|200								一个角色只能兑换一次
剑侠情缘VIP大礼包	HKJXQYVIP		5000	2016/11/8	2017/7/1			    尊敬的侠士，恭喜你成功领取了礼包！	item|2167|1	item|2761|1	item|212|20								一个角色只能兑换一次
回归礼包	HKReturn		12000	2016/11/8	2017/6/30			    尊敬的侠士，恭喜你成功领取了礼包！	item|222|20	item|2682|1									一个角色只能兑换一次
义气大礼包	HKBrotherhood		15000	2016/12/5	2017/6/30			    尊敬的侠士，恭喜你成功领取了礼包！	item|2167|1	item|212|15	item|786|5								一个角色只能兑换一次
历程回归礼包	HKProcessReturn		610	2016/12/13	2017/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|2168|1	Contrib|1000	item|786|5								一个角色只能兑换一次
电玩礼包	HKVideoGame		10010	2016/12/22	2017/4/1			    尊敬的侠士，恭喜你成功领取了礼包！	Contrib|100	item|212|5	item|787|5								一个角色只能兑换一次
7-11储值礼包	HKRecharge711		5010	2017/1/6	2017/7/31			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|200	item|3526|1	item|222|2								一个角色只能兑换一次
全家储值礼包	HKRechargeFamily		5010	2017/1/6	2017/7/31			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|200	item|785|5	item|222|5								一个角色只能兑换一次
莱尔富储值礼包2	HKRechargeRich		5010	2017/1/6	2017/7/31			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|200	item|786|5	item|222|5								一个角色只能兑换一次
ok储值礼包	HKRechargeOK		5010	2017/1/6	2017/7/31			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|100	item|2168|1	Contrib|500								一个角色只能兑换一次
捷游机储值礼包	HKRechargeJieyou		5010	2017/1/6	2017/7/31			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|200	item|786|8	item|785|8								一个角色只能兑换一次
gash点卡礼包	HKGashGiftBag		511	2017/6/23	2017/7/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|222|2	item|1968|2									每个角色可以使用多次
回归大礼包	HKReturnGiftBag1		8001	2017/6/23	2017/7/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|3531|1	item|2163|1	Coin|10000								一个角色只能兑换一次
资料片大礼包	HKExpansionPack1		4501	2017/6/23	2017/7/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|2158|1	item|1969|2	Contrib|1000								一个角色只能兑换一次
FB义气礼包A	HKYiqiA		61	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|1234|5	item|1235|5									一个角色只能兑换一次
FB义气礼包B	HKYiqiB		61	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|785|5	item|1927|100									一个角色只能兑换一次
FB义气礼包C	HKYiqiC		61	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|3013|2										一个角色只能兑换一次
FB义气礼包D	HKYiqiD		61	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	Contrib|1500										一个角色只能兑换一次
FB义气礼包E	HKYiqiE		61	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	Coin|60000										一个角色只能兑换一次
FB义气礼包F	HKYiqiF		111	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|1234|10	item|1235|10									一个角色只能兑换一次
FB义气礼包G	HKYiqiG		111	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|785|10	item|1927|200									一个角色只能兑换一次
FB义气礼包H	HKYiqiH		111	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|3013|4										一个角色只能兑换一次
FB义气礼包I	HKYiqiI		111	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	Contrib|3000										一个角色只能兑换一次
FB义气礼包J	HKYiqiJ		111	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	Coin|120000										一个角色只能兑换一次
FB义气礼包K	HKYiqiK		211	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|788|2										一个角色只能兑换一次
FB义气礼包L	HKYiqiL		211	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|1969|8										一个角色只能兑换一次
FB义气礼包M	HKYiqiM		211	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|1968|15										一个角色只能兑换一次
FB义气礼包N	HKYiqiN		211	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|2301|2										每个角色可以使用多次
FB义气礼包O	HKYiqiO		211	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|2569|1	Gold|100									每个角色可以使用多次
FB义气礼包P	HKYiqiP		111	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|2168|2										一个角色只能兑换一次
FB义气礼包Q	HKYiqiQ		111	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|223|7										一个角色只能兑换一次
FB义气礼包R	HKYiqiR		111	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|788|5										一个角色只能兑换一次
FB义气礼包S	HKYiqiS		111	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|2569|3										每个角色可以使用多次
FB义气礼包T	HKYiqiT		111	2017/11/29	2018/3/31			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|1000										每个角色可以使用多次
香港-客诉安抚礼包	HKpacify		2010	2017/12/13	2020/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Coin|1000	item|222|2	item|1927|5								同一批礼包序号，同角色可重复兑换,每组序号限领一次
116平台商城限时礼包A	HK116ShopLimitA		2000	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Item|788|3										一个角色只能兑换一次
116平台商城限时礼包B	HK116ShopLimitB		2000	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Item|1969|12										一个角色只能兑换一次
116平台商城优惠礼包A	HK116ShopSellA		500	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|2168|2										一个角色只能兑换一次
116平台商城优惠礼包B	HK116ShopSellB		500	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Item|223|7										一个角色只能兑换一次
116平台专享礼包	HK116PlatZ		2000	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Item|1234|5	Item|1235|5									一个角色只能兑换一次
116推荐礼包a	HK116TuiA		500	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Item|788|5										一个角色只能兑换一次
116推荐礼包b	HK116TuiB		500	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	item|2569|3										一个角色只能兑换一次
116平台福利礼包a	HK116PlatA		1000	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Contrib|1500										一个角色只能兑换一次
116平台福利礼包b	HK116PlatB		1000	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Item|785|5	Item|1927|100									一个角色只能兑换一次
116平台活动礼包1	HK116PlatAct1		2000	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Item|3013|2										一个角色只能兑换一次
116平台活动礼包2	HK116PlatAct2		2000	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Item|1968|22										一个角色只能兑换一次
116平台活动礼包3	HK116PlatAct3		500	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Item|2301|5										一个角色只能兑换一次
116备用礼包1	HK116Bak1		200	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Item|1234|5	Item|1235|5									一个角色只能兑换一次
116备用礼包2	HK116Bak2		200	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Contrib|3000										一个角色只能兑换一次
116备用礼包3	HK116Bak3		200	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Item|788|3										一个角色只能兑换一次
116备用礼包4	HK116Bak4		200	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Item|2301|4										一个角色只能兑换一次
116备用礼包5	HK116Bak5		50	2018/1/17	2018/12/31			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|1000										一个角色只能兑换一次
